         x            rho             ux             p
-3.88500E-01    7.82874E+00    2.15625E-01    4.62996E+02
-3.87500E-01    7.81396E+00    2.34375E-01    4.61541E+02
-3.86500E-01    7.79920E+00    2.53125E-01    4.60089E+02
-3.85500E-01    7.78447E+00    2.71875E-01    4.58641E+02
-3.84500E-01    7.76975E+00    2.90625E-01    4.57196E+02
-3.83500E-01    7.75504E+00    3.09375E-01    4.55755E+02
-3.82500E-01    7.74036E+00    3.28125E-01    4.54318E+02
-3.81500E-01    7.72570E+00    3.46875E-01    4.52884E+02
-3.80500E-01    7.71105E+00    3.65625E-01    4.51454E+02
-3.79500E-01    7.69642E+00    3.84375E-01    4.50028E+02
-3.78500E-01    7.68181E+00    4.03125E-01    4.48605E+02
-3.77500E-01    7.66722E+00    4.21875E-01    4.47186E+02
-3.76500E-01    7.65265E+00    4.40625E-01    4.45770E+02
-3.75500E-01    7.63810E+00    4.59375E-01    4.44358E+02
-3.74500E-01    7.62356E+00    4.78125E-01    4.42950E+02
-3.73500E-01    7.60905E+00    4.96875E-01    4.41545E+02
-3.72500E-01    7.59455E+00    5.15625E-01    4.40144E+02
-3.71500E-01    7.58007E+00    5.34375E-01    4.38746E+02
-3.70500E-01    7.56561E+00    5.53125E-01    4.37352E+02
-3.69500E-01    7.55117E+00    5.71875E-01    4.35961E+02
-3.68500E-01    7.53674E+00    5.90625E-01    4.34574E+02
-3.67500E-01    7.52234E+00    6.09375E-01    4.33191E+02
-3.66500E-01    7.50795E+00    6.28125E-01    4.31811E+02
-3.65500E-01    7.49358E+00    6.46875E-01    4.30434E+02
-3.64500E-01    7.47923E+00    6.65625E-01    4.29061E+02
-3.63500E-01    7.46489E+00    6.84375E-01    4.27692E+02
-3.62500E-01    7.45058E+00    7.03125E-01    4.26326E+02
-3.61500E-01    7.43628E+00    7.21875E-01    4.24963E+02
-3.60500E-01    7.42201E+00    7.40625E-01    4.23604E+02
-3.59500E-01    7.40775E+00    7.59375E-01    4.22249E+02
-3.58500E-01    7.39351E+00    7.78125E-01    4.20897E+02
-3.57500E-01    7.37928E+00    7.96875E-01    4.19548E+02
-3.56500E-01    7.36508E+00    8.15625E-01    4.18203E+02
-3.55500E-01    7.35089E+00    8.34375E-01    4.16861E+02
-3.54500E-01    7.33672E+00    8.53125E-01    4.15523E+02
-3.53500E-01    7.32257E+00    8.71875E-01    4.14188E+02
-3.52500E-01    7.30844E+00    8.90625E-01    4.12857E+02
-3.51500E-01    7.29433E+00    9.09375E-01    4.11529E+02
-3.50500E-01    7.28023E+00    9.28125E-01    4.10204E+02
-3.49500E-01    7.26616E+00    9.46875E-01    4.08883E+02
-3.48500E-01    7.25210E+00    9.65625E-01    4.07565E+02
-3.47500E-01    7.23806E+00    9.84375E-01    4.06251E+02
-3.46500E-01    7.22403E+00    1.00312E+00    4.04940E+02
-3.45500E-01    7.21003E+00    1.02187E+00    4.03633E+02
-3.44500E-01    7.19604E+00    1.04062E+00    4.02329E+02
-3.43500E-01    7.18208E+00    1.05937E+00    4.01028E+02
-3.42500E-01    7.16812E+00    1.07812E+00    3.99730E+02
-3.41500E-01    7.15419E+00    1.09688E+00    3.98436E+02
-3.40500E-01    7.14028E+00    1.11562E+00    3.97146E+02
-3.39500E-01    7.12638E+00    1.13437E+00    3.95858E+02
-3.38500E-01    7.11250E+00    1.15312E+00    3.94574E+02
-3.37500E-01    7.09864E+00    1.17187E+00    3.93294E+02
-3.36500E-01    7.08480E+00    1.19063E+00    3.92016E+02
-3.35500E-01    7.07098E+00    1.20937E+00    3.90742E+02
-3.34500E-01    7.05717E+00    1.22812E+00    3.89472E+02
-3.33500E-01    7.04338E+00    1.24687E+00    3.88204E+02
-3.32500E-01    7.02961E+00    1.26562E+00    3.86940E+02
-3.31500E-01    7.01586E+00    1.28438E+00    3.85679E+02
-3.30500E-01    7.00213E+00    1.30312E+00    3.84422E+02
-3.29500E-01    6.98841E+00    1.32187E+00    3.83168E+02
-3.28500E-01    6.97471E+00    1.34062E+00    3.81917E+02
-3.27500E-01    6.96103E+00    1.35937E+00    3.80669E+02
-3.26500E-01    6.94737E+00    1.37813E+00    3.79424E+02
-3.25500E-01    6.93373E+00    1.39688E+00    3.78183E+02
-3.24500E-01    6.92010E+00    1.41562E+00    3.76945E+02
-3.23500E-01    6.90649E+00    1.43437E+00    3.75711E+02
-3.22500E-01    6.89290E+00    1.45312E+00    3.74479E+02
-3.21500E-01    6.87933E+00    1.47188E+00    3.73251E+02
-3.20500E-01    6.86577E+00    1.49063E+00    3.72026E+02
-3.19500E-01    6.85223E+00    1.50937E+00    3.70804E+02
-3.18500E-01    6.83871E+00    1.52812E+00    3.69586E+02
-3.17500E-01    6.82521E+00    1.54687E+00    3.68370E+02
-3.16500E-01    6.81173E+00    1.56563E+00    3.67158E+02
-3.15500E-01    6.79826E+00    1.58437E+00    3.65949E+02
-3.14500E-01    6.78481E+00    1.60312E+00    3.64744E+02
-3.13500E-01    6.77138E+00    1.62188E+00    3.63541E+02
-3.12500E-01    6.75797E+00    1.64062E+00    3.62342E+02
-3.11500E-01    6.74457E+00    1.65938E+00    3.61145E+02
-3.10500E-01    6.73120E+00    1.67812E+00    3.59952E+02
-3.09500E-01    6.71784E+00    1.69687E+00    3.58762E+02
-3.08500E-01    6.70449E+00    1.71563E+00    3.57576E+02
-3.07500E-01    6.69117E+00    1.73437E+00    3.56392E+02
-3.06500E-01    6.67786E+00    1.75313E+00    3.55211E+02
-3.05500E-01    6.66457E+00    1.77188E+00    3.54034E+02
-3.04500E-01    6.65130E+00    1.79062E+00    3.52860E+02
-3.03500E-01    6.63805E+00    1.80938E+00    3.51689E+02
-3.02500E-01    6.62481E+00    1.82812E+00    3.50521E+02
-3.01500E-01    6.61159E+00    1.84688E+00    3.49356E+02
-3.00500E-01    6.59839E+00    1.86563E+00    3.48194E+02
-2.99500E-01    6.58521E+00    1.88437E+00    3.47035E+02
-2.98500E-01    6.57204E+00    1.90313E+00    3.45880E+02
-2.97500E-01    6.55889E+00    1.92188E+00    3.44727E+02
-2.96500E-01    6.54576E+00    1.94063E+00    3.43578E+02
-2.95500E-01    6.53265E+00    1.95938E+00    3.42431E+02
-2.94500E-01    6.51955E+00    1.97812E+00    3.41288E+02
-2.93500E-01    6.50647E+00    1.99688E+00    3.40148E+02
-2.92500E-01    6.49341E+00    2.01563E+00    3.39010E+02
-2.91500E-01    6.48037E+00    2.03437E+00    3.37876E+02
-2.90500E-01    6.46734E+00    2.05313E+00    3.36745E+02
-2.89500E-01    6.45434E+00    2.07188E+00    3.35617E+02
